flags, %_of_average, viable_in_how_many_functions, functions
[-O1], 93.62%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O2], 91.08%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O3], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Os], 102.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Ofast], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-reg-struct-return; -fsignaling-nans; -fno-tree-loop-distribute-patterns; -fno-if-conversion2; -fpartial-inlining; -ftree-scev-cprop; -fomit-frame-pointer; -fipa-icf; -ftree-dominator-opts; -ftree-pre; -fno-omit-frame-pointer; -ftree-sink; -ftracer; -ftree-reassoc; -fsched-spec-insn-heuristic; -ftree-builtin-call-dce], 91.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-freciprocal-math; -fno-inline-functions-called-once; -fno-rounding-math; -fno-unswitch-loops; -fthread-jumps; -fno-ipa-cp-clone; -fno-tree-loop-vectorize; -fno-strict-enums; -fcaller-saves; -freorder-blocks-and-partition; -fno-sched-group-heuristic; -fforward-propagate; -ftree-dse; -fomit-frame-pointer; -fvpt; -fbranch-probabilities], 89.88%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-rename-registers; -fpeephole; -fno-cse-follow-jumps; -fno-shrink-wrap; -fno-tree-slsr; -fno-ipa-cp-alignment; -fvariable-expansion-in-unroller; -fno-inline-functions-called-once; -fbranch-probabilities; -fno-finite-math-only; -fprefetch-loop-arrays; -fmodulo-sched; -fno-var-tracking-assignments; -fno-section-anchors; -fsched-interblock; -fsched-interblock], 91.40%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fira-share-spill-slots; -fgcse; -fno-conserve-stack; -fno-rename-registers; -findirect-inlining; -fno-nothrow-opt; -fno-tree-scev-cprop; -ftree-slp-vectorize; -fipa-cp; -fno-if-conversion2; -fno-sel-sched-pipelining-outer-loops; -freg-struct-return; -fipa-pure-const; -fsingle-precision-constant; -fno-isolate-erroneous-paths-dereference; -fif-conversion2], 91.17%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fvpt; -fno-jump-tables; -fno-tree-vectorize; -fdefer-pop; -fno-loop-interchange; -fno-align-labels; -frounding-math; -fprefetch-loop-arrays; -freschedule-modulo-scheduled-loops; -fschedule-insns; -fno-rtti; -fomit-frame-pointer; -fno-predictive-commoning; -fno-tree-fre; -ftree-scev-cprop; -freciprocal-math], 90.69%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-tree-forwprop; -fno-dse; -fstrict-aliasing; -ftree-loop-distribution; -fno-graphite-identity; -fno-tree-cselim; -fstrict-volatile-bitfields; -ftree-reassoc; -fno-reorder-blocks; -ftracer; -fno-cx-fortran-rules; -ftree-loop-optimize; -fsched-rank-heuristic; -fipa-cp-alignment; -fipa-cp-alignment; -fno-tree-slsr], 91.95%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-tree-tail-merge; -ftree-loop-optimize; -frename-registers; -fno-tree-pre; -fno-delayed-branch; -fno-align-functions; -fcx-limited-range; -fno-selective-scheduling; -fno-sched2-use-superblocks; -foptimize-sibling-calls; -fweb; -fno-peel-loops; -ftree-loop-distribute-patterns; -fbranch-count-reg; -fno-math-errno; -fstrict-volatile-bitfields], 94.98%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-ftree-lrs; -fira-share-save-slots; -fsection-anchors; -finline-functions-called-once; -fno-tracer; -freorder-blocks; -ftree-pta; -fno-tree-loop-if-convert-stores; -fno-single-precision-constant; -fno-rtti; -foptimize-sibling-calls; -fschedule-insns; -fjump-tables; -fno-branch-probabilities; -fno-ipa-profile; -ftree-phiprop], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-unroll-all-loops; -fvar-tracking-assignments-toggle; -fno-aggressive-loop-optimizations; -fbranch-count-reg; -fdelete-dead-exceptions; -ftree-fre; -fno-cprop-registers; -fno-trapping-math; -fbranch-count-reg; -ftree-loop-if-convert; -fno-crossjumping; -fno-web; -fno-sched2-use-superblocks; -fopt-info; -flra-remat; -fno-finite-math-only], 91.70%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-partial-inlining; -fstrict-overflow; -fif-conversion; -fno-move-loop-invariants; -fassociative-math; -fno-sched-spec; -fno-omit-frame-pointer; -fno-sched-stalled-insns-dep; -fguess-branch-probability; -fno-tree-lrs; -fssa-phiopt; -fno-tree-forwprop; -fno-peephole2; -fdelayed-branch; -fno-tree-sink; -frename-registers], 91.51%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fsingle-precision-constant; -fearly-inlining; -fno-tree-cselim; -ffunction-cse; -falign-functions; -fno-branch-target-load-optimize2; -fgcse-sm; -fno-vpt; -ftree-loop-if-convert-stores; -fno-tree-dominator-opts; -fno-loop-nest-optimize; -fno-rtti; -fno-unsafe-math-optimizations; -fshort-double; -fgcse-sm; -fcaller-saves], 91.15%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fhoist-adjacent-loads; -fno-strict-aliasing; -foptimize-sibling-calls; -fno-dse; -fno-shrink-wrap; -fno-sched2-use-superblocks; -fno-shrink-wrap; -fno-delayed-branch; -fno-sched2-use-superblocks; -fno-rename-registers; -ftree-coalesce-vars; -fno-ssa-phiopt; -fstrict-volatile-bitfields; -fcaller-saves; -fcaller-saves; -ftree-loop-im], 96.65%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fpeel-loops; -fsched-stalled-insns-dep; -fno-live-range-shrinkage; -falign-jumps; -falign-functions; -fno-peel-loops; -freorder-blocks; -fstrict-aliasing; -fno-gcse-las; -fno-threadsafe-statics; -ffinite-math-only; -fmath-errno; -fipa-cp-alignment; -ftracer; -fsched-spec-insn-heuristic; -fno-shrink-wrap], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fdse; -fno-delete-dead-exceptions; -fno-handle-exceptions; -fno-split-wide-types; -fpack-struct; -funwind-tables; -fno-shrink-wrap; -fno-short-wchar; -fgcse-sm; -fno-tree-loop-if-convert; -ftree-scev-cprop; -fno-sel-sched-pipelining; -fno-sched-rank-heuristic; -fno-var-tracking; -fno-jump-tables; -fno-variable-expansion-in-unroller], 89.91%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-flive-range-shrinkage; -fno-inline-functions-called-once; -fsplit-ivs-in-unroller; -fsel-sched-reschedule-pipelined; -faggressive-loop-optimizations; -fno-branch-probabilities; -ftree-loop-vectorize; -fvar-tracking-assignments; -fmodulo-sched-allow-regmoves; -fipa-icf-functions; -fno-tree-loop-distribution; -fno-tree-loop-vectorize; -fipa-pure-const; -frtti; -fno-align-jumps; -fno-branch-target-load-optimize], 89.87%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fsel-sched-reschedule-pipelined; -fno-trapv; -fno-tree-slsr; -fno-opt-info; -fvariable-expansion-in-unroller; -fno-sched-spec-insn-heuristic; -fno-wrapv; -fno-branch-probabilities; -fshort-enums; -fno-dce; -fno-math-errno; -fselective-scheduling2; -fno-unswitch-loops; -fno-rename-registers; -ftree-loop-if-convert; -fno-tree-phiprop], 92.88%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fwrapv; -fschedule-insns2; -fpeephole2; -fno-tree-pta; -fno-gcse-after-reload; -fno-ipa-sra; -fno-sched-rank-heuristic; -fsched-interblock; -fno-ipa-icf-functions; -frounding-math; -fsched-interblock; -fno-peephole2; -fno-unsafe-loop-optimizations; -fshort-enums; -fno-cx-fortran-rules; -fipa-reference], 91.08%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-ipa-ra; -fno-loop-interchange; -fno-graphite; -fpeephole2; -fdelete-null-pointer-checks; -fno-delete-dead-exceptions; -fno-loop-block; -ftree-bit-ccp; -fsel-sched-pipelining; -fno-combine-stack-adjustments; -ftree-ch; -fno-dce; -fno-forward-propagate; -fno-trapv; -fno-associative-math; -fno-align-functions], 92.59%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-selective-scheduling2; -fdevirtualize; -fgcse-las; -fno-cprop-registers; -frounding-math; -fno-prefetch-loop-arrays; -fno-if-conversion; -ftree-loop-if-convert; -ftree-vectorize; -fsched-spec-load-dangerous; -fpeephole2; -fno-ipa-icf; -fno-live-range-shrinkage; -fno-tree-lrs; -fbranch-target-load-optimize; -fno-finite-math-only], 91.18%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
